time,data_no.,gyro_x,gyro_y,gyro_z,g_x_scaled,g_y_scaled,g_z_scaled,accel_x,accel_y,accel_z,a_x_scaled,a_y_scaled,a_z_scaled,rotation_x,rotation_y
2019-01-28 20:51:41.76,107,-428,268,71,-3.2672,2.0458,0.542,-492,6732,15056,-0.03,0.4109,0.9189,24.0795,1.7087
2019-01-28 20:51:41.88,108,-409,258,81,-3.1221,1.9695,0.6183,-220,6660,14732,-0.0134,0.4065,0.8992,24.3242,0.7796
2019-01-28 20:51:41.99,109,-432,261,65,-3.2977,1.9924,0.4962,-108,6696,14740,-0.0066,0.4087,0.8997,24.4305,0.3822
2019-01-28 20:51:42.10,110,-431,256,61,-3.2901,1.9542,0.4656,-240,6796,14700,-0.0146,0.4148,0.8972,24.8088,0.849
2019-01-28 20:51:42.21,111,-404,274,58,-3.084,2.0916,0.4427,-164,6664,14632,-0.01,0.4067,0.8931,24.4851,0.5844
2019-01-28 20:51:42.33,112,-411,245,70,-3.1374,1.8702,0.5344,-152,6736,14764,-0.0093,0.4111,0.9011,24.5235,0.5366
2019-01-28 20:51:42.44,113,-406,265,60,-3.0992,2.0229,0.458,-104,6736,14844,-0.0063,0.4111,0.906,24.4074,0.3655
2019-01-28 20:51:42.55,114,-404,247,63,-3.084,1.8855,0.4809,-20,6448,14720,-0.0012,0.3936,0.8984,23.6555,0.0713
2019-01-28 20:51:42.66,115,-447,253,62,-3.4122,1.9313,0.4733,-152,6708,14832,-0.0093,0.4094,0.9053,24.3345,0.535
2019-01-28 20:51:42.78,116,-401,250,63,-3.0611,1.9084,0.4809,-236,6676,14988,-0.0144,0.4075,0.9148,24.0067,0.8241
2019-01-28 20:51:42.89,117,-423,262,72,-3.229,2.0,0.5496,-188,6776,14724,-0.0115,0.4136,0.8987,24.7102,0.6645
2019-01-28 20:51:43.00,118,-417,292,83,-3.1832,2.229,0.6336,-136,6744,14816,-0.0083,0.4116,0.9043,24.4733,0.4787
2019-01-28 20:51:43.11,119,-420,502,48,-3.2061,3.8321,0.3664,-160,6704,14600,-0.0098,0.4092,0.8911,24.6622,0.5706
2019-01-28 20:51:43.23,120,-408,8,84,-3.1145,0.0611,0.6412,-52,6688,14920,-0.0032,0.4082,0.9106,24.1445,0.1822
2019-01-28 20:51:43.34,121,-420,16,80,-3.2061,0.1221,0.6107,-240,6744,14904,-0.0146,0.4116,0.9097,24.3438,0.8405
2019-01-28 20:51:43.45,122,-415,277,53,-3.1679,2.1145,0.4046,-64,6808,14948,-0.0039,0.4155,0.9124,24.4865,0.2232
2019-01-28 20:51:43.56,123,-433,289,75,-3.3053,2.2061,0.5725,120,6728,14808,0.0073,0.4106,0.9038,24.4339,-0.4227
2019-01-28 20:51:43.68,124,-411,273,76,-3.1374,2.084,0.5802,-220,6720,14936,-0.0134,0.4102,0.9116,24.2216,0.7696
2019-01-28 20:51:43.79,125,-441,262,69,-3.3664,2.0,0.5267,-64,6908,14832,-0.0039,0.4216,0.9053,24.9735,0.2241
2019-01-28 20:51:43.90,126,-434,269,76,-3.313,2.0534,0.5802,-20,6692,14768,-0.0012,0.4084,0.9014,24.3773,0.0707
2019-01-28 20:51:44.01,127,-437,505,76,-3.3359,3.855,0.5802,-264,6668,14820,-0.0161,0.407,0.9045,24.2211,0.9307
2019-01-28 20:51:44.13,128,-396,502,65,-3.0229,3.8321,0.4962,-204,6672,14760,-0.0125,0.4072,0.9009,24.3225,0.7216
2019-01-28 20:51:44.24,129,-420,245,78,-3.2061,1.8702,0.5954,-200,6712,14612,-0.0122,0.4097,0.8918,24.6696,0.7126
2019-01-28 20:51:44.35,130,-431,282,67,-3.2901,2.1527,0.5115,-200,6684,14696,-0.0122,0.408,0.897,24.4549,0.7097
2019-01-28 20:51:44.46,131,-422,282,58,-3.2214,2.1527,0.4427,-120,6736,14720,-0.0073,0.4111,0.8984,24.5885,0.4247
2019-01-28 20:51:44.58,132,-401,265,67,-3.0611,2.0229,0.5115,-40,6712,14772,-0.0024,0.4097,0.9016,24.4357,0.1412
2019-01-28 20:51:44.69,133,-420,506,50,-3.2061,3.8626,0.3817,-164,6696,14788,-0.01,0.4087,0.9026,24.3597,0.5788
2019-01-28 20:51:44.80,134,-410,267,80,-3.1298,2.0382,0.6107,-36,6708,14772,-0.0022,0.4094,0.9016,24.4228,0.1271
2019-01-28 20:51:44.91,135,-414,250,84,-3.1603,1.9084,0.6412,-100,6728,14820,-0.0061,0.4106,0.9045,24.4167,0.352
2019-01-28 20:51:45.03,136,-417,9,65,-3.1832,0.0687,0.4962,-192,6664,14940,-0.0117,0.4067,0.9119,24.0375,0.6724
2019-01-28 20:51:45.14,137,-437,252,73,-3.3359,1.9237,0.5573,-248,6716,14624,-0.0151,0.4099,0.8926,24.6636,0.8829
2019-01-28 20:51:45.25,138,-407,270,70,-3.1069,2.0611,0.5344,-204,6796,14676,-0.0125,0.4148,0.8958,24.8453,0.7227
2019-01-28 20:51:45.36,139,-414,247,72,-3.1603,1.8855,0.5496,-200,6876,14876,-0.0122,0.4197,0.908,24.8054,0.6992
2019-01-28 20:51:45.48,140,-401,0,54,-3.0611,0.0,0.4122,-504,6776,14600,-0.0308,0.4136,0.8911,24.8834,1.7935
2019-01-28 20:51:45.59,141,-391,271,79,-2.9847,2.0687,0.6031,-484,6716,14864,-0.0295,0.4099,0.9072,24.3035,1.6997
2019-01-28 20:51:45.70,142,-402,258,76,-3.0687,1.9695,0.5802,-156,6676,14840,-0.0095,0.4075,0.9058,24.2201,0.5493
2019-01-28 20:51:45.81,143,-439,250,78,-3.3511,1.9084,0.5954,-176,6752,14748,-0.0107,0.4121,0.9001,24.5979,0.6217
2019-01-28 20:51:45.93,144,-405,261,70,-3.0916,1.9924,0.5344,-120,6672,14788,-0.0073,0.4072,0.9026,24.2831,0.4238
2019-01-28 20:51:46.04,145,-411,273,73,-3.1374,2.084,0.5573,-228,6732,15048,-0.0139,0.4109,0.9185,24.0998,0.7924
2019-01-28 20:51:46.15,146,-431,259,74,-3.2901,1.9771,0.5649,-284,6840,15088,-0.0173,0.4175,0.9209,24.3829,0.9822
2019-01-28 20:51:46.26,147,-408,28,74,-3.1145,0.2137,0.5649,-212,6848,14812,-0.0129,0.418,0.9041,24.8102,0.7443
